0,0.00
1,1.03
2,0.97
3,0.91
4,0.84
5,0.79
6,0.73
7,0.68
8,0.62
9,0.56
10,0.49
11,0.42
12,0.39
13,0.35
14,0.32
15,0.28
16,0.25
17,0.23
18,0.21
19,0.22
20,0.22
21,0.23
22,0.23
23,0.23
24,0.22
25,0.22
26,0.22
27,0.22
28,0.21
29,0.22
30,0.22
31,0.22
32,0.22
33,0.23
34,0.24
35,0.24
36,0.25
37,0.24
38,0.26
